"BSSID","Channel","SSID","Percent Packets","Percent Retry","Retry","Beacons","Data Pkts","Probe Reqs","Probe Resp","Auths","Deauths","Other","Protection"
"01:0b:85:00:00:00",0,"<Broadcast>",0.007331378299120235,0,0,0,5,0,0,0,0,0,""
"c4:a0:d3:bc:a1:f9",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"6c:a6:5a:d0:66:0f",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:80:26",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"f4:ca:d7:2c:e6:40",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:5e:07:27:b5:55",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:4b:1c:44:c5",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"4a:5e:fd:97:8d:99",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"53:df:68:91:fa:bf",0,"<Broadcast>",0.001466275659824047,0,0,0,0,0,0,0,0,1,""
"24:fa:de:36:11:af",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:2c:8c:28:56:69",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"WEP"
"d7:0a:db:9e:5d:bb",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:15:59:c0",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:b1:a0",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,""
"c4:5a:3a:99:3e:2d",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"91:c6:a2:66:a0:47",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"WEP"
"ff:ff:ff:ff:ff:ff",1,"Airtel bace_5G",0.001466275659824047,0,0,0,0,1,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",1,"V2029",0.001466275659824047,0,0,0,0,1,0,0,0,0,""
"13:b1:8d:25:b5:54",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:0b:4a:b5:54",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:5f:9b:14:fa:54",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:ca:37:6d:0b:ee",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"c4:0a:cb:25:35:6d",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"00:00:14:4e:00:00",0,"<Broadcast>",0.001466275659824047,0,0,0,0,0,0,0,0,1,""
"d6:0a:cb:c3:b5:54",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,""
"c4:0a:bb:07:35:84",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:09:cb:25:b5:54",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:01:b5:50",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"c4:0a:4b:14:ca:85",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:92:d8:45:bb:97",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:c3:97:f3:c2",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:45:3b:54",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:35:54",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:e9:ef:35",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:b2:37",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:a5:d2:45",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"88:f0:31:04:19:97",0,"<Broadcast>",0.001466275659824047,100,1,0,0,0,0,0,0,1,"WEP"
"29:91:4f:73:4e:5b",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,""
"04:33:99:fc:45:18",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:f6:a0",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,""
"c4:f2:f0:64:b6:cd",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:9f:41",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"ff:ff:ff:ff:ff:ff",1,"GUEST-N",0.002932551319648094,0,0,0,0,2,0,0,0,0,""
"14:b7:20:6a:74:ef",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"30:86:2d:d0:a3:f0",0,"<Broadcast>",0.002932551319648094,100,2,0,2,0,0,0,0,0,""
"64:0b:cb:25:b5:54",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"ff:ff:ff:ff:ff:ff",1,"MOBILE-S",0.02346041055718475,0,0,0,0,16,0,0,0,0,""
"a6:29:de:fc:fd:d1",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"WEP"
"d7:0a:cb:25:b5:f4",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:b5:e7",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"c4:0a:53:fa:83:b8",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:d7:2c:4b:24",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"WEP"
"a0:f7:cb:15:d9:f4",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,""
"30:00:c0:87:48:6a",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"e7:e1:2c:6d:8e:5e",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"60:ce:7b:2a:a9:1c",0,"<Broadcast>",0.001466275659824047,100,1,0,0,0,0,0,0,1,"Unknown"
"3b:01:14:4e:aa:98",0,"<Broadcast>",0.001466275659824047,100,1,0,0,0,0,0,0,1,"WEP"
"c4:0a:96:39:6c:1c",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:e6:05",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"5d:8c:32:d9:c4:0a",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"55:40:cb:25:e6:35",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:01:12:39:1c:c9",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"cc:a7:ca:1c:f7:3f",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:35:2a",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:a5:35:2d",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"63:b8:5a:55:b5:54",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:b5:84",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"7f:74:c9:25:b5:54",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"13:45:52:ba:3f:00",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"04:c2:79:24:b5:f4",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"49:16:cb:25:e0:98",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
