c4:0a:cb:25:b5:54,0,9270,1399221,0,0,4238,1019064,5032,380157
ff:ff:ff:ff:ff:ff,0,106896,22950904,0,0,1175,96180,105721,22854724
b0:be:83:4e:69:e6,0,109,66457,0,0,109,66457,0,0
33:33:00:00:00:fb,0,16414,6577769,0,0,0,0,16414,6577769
f2:c5:4e:cf:00:28,0,8,3336,0,0,8,3336,0,0
bc:d0:74:30:f2:12,0,146,70060,0,0,146,70060,0,0
01:00:5e:7f:ff:fa,0,5199,1705123,0,0,0,0,5199,1705123
b0:60:88:da:69:f2,0,1627,250936,0,0,1627,250936,0,0
50:ed:3c:59:eb:06,0,89,62040,0,0,89,62040,0,0
01:00:5e:00:00:fb,0,25465,10361398,0,0,0,0,25465,10361398
70:a8:d3:c7:73:47,0,9,2430,0,0,9,2430,0,0
c4:0a:cb:2d:ca:81,0,1794,607310,0,0,1780,606330,14,980
c4:0a:cb:25:b5:52,0,2906,997127,0,0,2901,996777,5,350
7f:15:2d:22:b5:52,0,1,70,0,0,1,70,0,0
f8:89:d2:c7:07:75,0,11093,2082746,0,0,1277,196161,9816,1886585
f8:89:d2:c7:07:93,0,2,630,0,0,1,179,1,451
30:7f:29:33:13:b9,0,1,179,0,0,0,0,1,179
b5:54:04:00:10:77,0,1,88,0,0,1,88,0,0
88:f0:31:04:19:97,0,9222,3038624,0,0,9220,3038274,2,350
cb:25:b5:54:8e:e9,0,3,228,0,0,3,228,0,0
b4:00:1c:01:f8:89,0,3,228,0,0,0,0,3,228
27:85:b5:54:8e:e9,0,2,140,0,0,2,140,0,0
c4:00:f2:00:c4:0a,0,2,140,0,0,0,0,2,140
ff:ff:ff:ff:de:b0,0,1,84,0,0,1,84,0,0
d2:c7:07:75:05:00,0,343,28812,0,0,0,0,343,28812
c4:0a:cb:2d:ca:83,0,1874,544334,0,0,1863,543564,11,770
c4:0a:cb:25:b5:51,0,2899,992266,0,0,2896,992056,3,210
56:04:b2:b5:b5:51,0,1,70,0,0,1,70,0,0
56:04:b2:b5:b5:54,0,1,70,0,0,1,70,0,0
f8:89:d2:47:8d:56,0,1,1063,0,0,1,1063,0,0
ef:8a:55:64:22:4a,0,1,1063,0,0,0,0,1,1063
b5:54:04:00:50:77,0,1,88,0,0,1,88,0,0
d4:8a:39:57:2e:d2,0,10408,859521,0,0,8287,677551,2121,181970
c4:0a:cb:25:b5:55,0,11523,1448627,0,0,2445,724952,9078,723675
39:57:2e:d2:85:84,0,6739,471730,0,0,6739,471730,0,0
83:40:cb:25:b5:55,0,6707,469490,0,0,0,0,6707,469490
d2:c7:07:75:df:e2,0,1,70,0,0,1,70,0,0
3b:b7:cb:25:b5:55,0,1,70,0,0,0,0,1,70
d2:c7:07:75:71:ec,0,547,38290,0,0,547,38290,0,0
d4:87:cb:25:b5:55,0,212,14840,0,0,0,0,212,14840
c4:0a:cb:2d:ca:85,0,4774,753418,0,0,4010,697334,764,56084
10:ec:81:9b:a3:a6,0,86,13089,0,0,86,13089,0,0
e8:5a:8b:6e:7a:0d,0,217,60020,0,0,217,60020,0,0
10:ec:81:f4:8c:2c,0,11,2503,0,0,11,2503,0,0
2c:a7:ef:92:d1:93,0,245,43917,0,0,245,43917,0,0
f0:1f:c7:9d:0e:c2,0,69,23439,0,0,69,23439,0,0
9c:28:f7:1f:c2:7a,0,221,39257,0,0,221,39257,0,0
c4:0a:cb:25:b5:53,0,2523,740716,0,0,2522,740646,1,70
71:ec:d4:87:b5:53,0,78,5460,0,0,78,5460,0,0
b4:f9:f0:b2:b5:53,0,1,70,0,0,1,70,0,0
7e:8f:c1:9f:6d:25,0,1045,126561,0,0,724,97862,321,28699
b4:bb:07:14:6d:25,0,301,21070,0,0,301,21070,0,0
c4:0a:cb:2d:ca:80,0,1916,651580,0,0,1905,650810,11,770
bc:f7:30:0d:69:96,0,297,45150,0,0,297,45150,0,0
